id,image_id,title,artist_title,date_start,date_end,date_display,place_of_origin,medium_display,artwork_type_title,category_titles
874,3a34f988-f779-2e96-1786-8945b6b9c87d,Landscape,Jean Charles Cazin,1890,1900,c. 1895,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
111626,c8566357-e7cc-3040-4d1d-2c67669f3456,Portrait of Mrs. Charles L. Hutchinson,Jules-Élie Delaunay,1890,1890,1890,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
58999,d349a360-3690-bbc4-5883-22f4cd8bac84,Still Life with Fruit,Émile Bernard,1890,1890,1890,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
4783,db94c894-a24c-c2e0-9db9-0506567a0152,Poppy Field (Giverny),Claude Monet,1890,1891,1890/91,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
109418,5ec2faea-0636-15d9-9c95-2fd89f85196c,Bathers,Paul Cezanne,1890,1894,1890/94,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
16560,db36f74f-47d9-ad08-cdf9-b4b436e6d18c,"Stack of Wheat (Snow Effect, Overcast Day)",Claude Monet,1890,1891,1890/91,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
111318,27c1d720-8ca5-79a4-5e51-530bf75c1591,Stack of Wheat,Claude Monet,1890,1891,1890/91,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
97292,0787ea3c-9c03-65a2-adeb-5f5343794324,Spring in France,Robert William Vonnoh,1890,1890,1890,France,Oil on canvas,Painting,['Arts of the Americas']
49723,3222a207-26a0-59c1-ba7c-c1ba4eaee588,Old Age,Jozef Israëls,1890,1900,c. 1895,Holland,Oil on canvas,Painting,['Painting and Sculpture of Europe']
65847,d5b9b3c8-66b4-d061-43ee-307cc42e1ae6,A Family Meal,Evert Pieters,1890,1899,1890s (?),Netherlands,Oil on canvas,Painting,['Painting and Sculpture of Europe']
97909,69364a3b-57ac-ce93-59e4-3aa3c548da49,Historians of the Tribe,Frederic Remington,1890,1899,1890–99,New York,Oil on canvas,Painting,['Arts of the Americas']
97910,375c77df-2819-fe65-f129-c3bc6ea2ce37,"The Advance-Guard, or The Military Sacrifice (The Ambush)",Frederic Remington,1890,1890,1890,New York,Oil on canvas,Painting,['Arts of the Americas']
97907,005f82e8-fe78-0395-c03f-894a246fb922,A Mexican Vaquero,Frederic Remington,1890,1890,1890,New York,Oil on canvas,Painting,['Arts of the Americas']
79349,d0ff5b36-bb38-b156-6042-5c8545352c2f,The Drinkers,Vincent van Gogh,1890,1890,1890,Saint-Rémy-de-Provence,Oil on canvas,Painting,['Painting and Sculpture of Europe']
64764,70742343-a189-c649-b8a7-da201269cea1,Twilight in Italy,George Inness,1890,1890,1890,United States,Oil on canvas,Painting,['Arts of the Americas']
79067,5969b0a0-eb19-3caf-7e86-66b6bcbb3f2e,Bridge in Moonlight,Louis Michel Eilshemius,1890,1890,c. 1890,United States,Oil on canvas,Painting,['Arts of the Americas']
64745,ee3eaad2-d2f4-5f04-9fb0-db581bc1d06d,The Moon at Night,George Inness,1890,1890,1890,United States,Oil on canvas,Painting,['Arts of the Americas']
27949,9325e3ea-2d5d-120f-5bfb-faa0f8266ca6,Madame Roulin Rocking the Cradle (La berceuse),Vincent van Gogh,1889,1889,1889,Arles,Oil on canvas,Painting,['Painting and Sculpture of Europe']
72801,3ae75415-0551-ae17-c478-3b8687a6f246,Icebound,John Henry Twachtman,1889,1889,c. 1889,Connecticut,Oil on canvas,Painting,"['Essentials', 'Arts of the Americas']"
65845,901da649-8816-41da-07e2-6140dd52d67a,"Autumn River Scene, The Brook",David Bates,1889,1889,1889,England,Oil on canvas,Painting,['Painting and Sculpture of Europe']
81546,ec1f6262-09c2-8f7e-baa9-9c0b267337ff,The Petite Creuse River,Claude Monet,1889,1889,1889,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
14664,156aaed6-fe3c-a13c-f39e-55f381205929,Moulin de la Galette,Henri de Toulouse-Lautrec,1889,1889,1889,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
97912,04a1a67f-d08b-35ea-bb90-770281b92abf,The Mexican Major,Frederic Remington,1889,1889,1889,New York,Oil on canvas,Painting,['Arts of the Americas']
28560,25c31d8d-21a4-9ea1-1d73-6a2eca4dda7e,The Bedroom,Vincent van Gogh,1889,1889,1889,Saint-Rémy-de-Provence,Oil on canvas,Painting,"['Painting and Sculpture of Europe', 'Essentials']"
59798,e7f7d1fb-9b18-45b4-1279-204a150279f5,Winged Figure,Abbott Handerson Thayer,1889,1889,1889,United States,Oil on canvas,Painting,['Arts of the Americas']
57209,b9e7b19d-5746-34bd-cc38-81bd5cac6fb0,The August Moon,William Trost Richards,1889,1889,1889,United States,Oil on canvas,Painting,['Arts of the Americas']
151108,f837e639-5a6c-3043-3c2c-a4d5ece3bf1d,The Mill Pond,George Inness,1889,1889,1889,United States,Oil on canvas,Painting,['Arts of the Americas']
40647,5cde06a4-c11d-ab9a-8016-a1644a967a89,Self-Portrait,Eastman Johnson,1889,1889,1889,United States,Oil on canvas on panel,Painting,['Arts of the Americas']
14586,9ea77636-76e9-9031-6b92-ff34512d7cbc,The Poet's Garden,Vincent van Gogh,1888,1888,1888,Arles,Oil on canvas,Painting,['Painting and Sculpture of Europe']
111746,dac4ead1-77cd-a46f-5c35-9f8b5132525d,The Harvesters,Léon Augustin Lhermitte,1888,1889,1888/89,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
